Title,Author,Publication Date,Publication Season,Goodreads URL,Awards Count,Rating
THE COLOR OF COMPROMISE,Jemar Tis,2025-01-07,Spring,https://www.goodreads.com/book/show/52609333-the-color-of-compromise?from_search=true&from_srp=true&qid=ID2lbBDnS1&rank=2,0.0,4.28
WHY I'M NO LONGER TALKING TO WHITE PEOPLE ABOUT RACE,Reni Eddo-Lodge,2020-11-12,Fall,https://www.goodreads.com/book/show/36494117-why-i-m-no-longer-talking-to-white-people-about-race,4.0,4.38
THE WARMTH OF OTHER SUNS,Isabel Wilkerson,2011-10-04,Fall,https://www.goodreads.com/book/show/9751673-the-warmth-of-other-suns,8.0,4.47
I'LL BE GONE IN THE DARK,Michelle McNamara,2019-02-26,Spring,https://www.goodreads.com/book/show/40943105-i-ll-be-gone-in-the-dark,4.0,4.12
ALEXANDER HAMILTON,Ron Chernow,2005-03-29,Spring,https://www.goodreads.com/book/show/16130.Alexander_Hamilton?ref=nav_sb_ss_1_18,2.0,4.22
THE YELLOW HOUSE,Sarah M Broom,2019-08-13,Summer,https://www.goodreads.com/book/show/54264590-the-yellow-house,4.0,3.9
WALKING WITH THE WIND,John Lewis and Michael D'Orso,2015-02-10,Spring,https://www.goodreads.com/book/show/22609531-walking-with-the-wind,2.0,4.6
INTIMATIONS,Zadie Smith,2020-07-28,Summer,https://www.goodreads.com/book/show/53825991-intimations?from_search=true&from_srp=true&qid=jkZQHo3Pi2&rank=5,1.0,3.99
ACROSS THAT BRIDGE,John Lewis,2012-05-15,Summer,https://www.goodreads.com/book/show/13622279-across-that-bridge?ref=nav_sb_ss_1_18,1.0,4.34
THE TRUTHS WE HOLD,Kamala Harris,2020-08-04,Summer,https://www.goodreads.com/book/show/54326149-the-truths-we-hold,0.0,4.03
OUR MALADY,Timothy Snyder,2020-09-08,Fall,https://www.goodreads.com/book/show/53911858-our-malady?ref=nav_sb_ss_1_10,0.0,4.15
KNOW MY NAME,Chanel Miller,2020-08-18,Summer,https://www.goodreads.com/book/show/52282601-know-my-name,5.0,4.7
FEAR,Bob Woodward,2019-08-27,Summer,https://www.goodreads.com/book/show/43822008-fear,1.0,3.87
MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams,2016-10-04,Fall,https://www.goodreads.com/book/show/31151411-my-own-words,0.0,4.03
RUTH BADER GINSBURG: A LIFE,Jane Sherron De Hart,2020-04-28,Spring,https://www.goodreads.com/book/show/38395059-ruth-bader-ginsburg?from_search=true&from_srp=true&qid=F2RbEW1k7Z&rank=1,0.0,4.21
WHAT UNITES US,Dan Rather and Elliot Kirschner,2019-09-03,Fall,https://www.goodreads.com/book/show/43212945-what-unites-us,0.0,4.31
SHADE,Pete Souza,2018-10-16,Fall,https://www.goodreads.com/book/show/44428934-shade,0.0,4.15
THE SOUL OF AMERICA,Jon Meacham,2019-04-30,Spring,https://www.goodreads.com/book/show/43305287-the-soul-of-america,1.0,4.26
CONVERSATIONS WITH RBG,Jeffrey Rosen,2019-11-05,Fall,https://www.goodreads.com/book/show/49247245-conversations-with-rbg,0.0,4.15
LEAD FROM THE OUTSIDE,Stacey Abrams,2018-04-24,Spring,https://www.goodreads.com/book/show/45324146-lead-from-the-outside?ref=nav_sb_ss_1_21,0.0,4.24
"PROMISE ME, DAD",Joe Biden,2017-11-14,Fall,https://www.goodreads.com/book/show/37901596-promise-me-dad,0.0,4.14
NO ONE ASKED FOR THIS,Cazzie David,2020,Fall,https://www.goodreads.com/book/show/48930274-no-one-asked-for-this?ref=nav_sb_ss_1_21,0.0,3.55
DREAMS FROM MY FATHER,Barack Obama,2007-01-09,Spring,https://www.goodreads.com/book/show/6163289-dreams-from-my-father,2.0,3.93
EDISON,Edmund Morris,2019,Fall,https://www.goodreads.com/book/show/55122441-edison,0.0,3.54
HOW TO DO NOTHING,Jenny Odell,2020-12-29,Fall,https://www.goodreads.com/book/show/52772868-how-to-do-nothing,0.0,3.68
THE POWER OF HABIT,Charles Duhigg,2012-02-28,Spring,https://www.goodreads.com/book/show/18594642-the-power-of-habit,2.0,4.13
THE BODY,Bill Bryson,2019-10-15,Fall,https://www.goodreads.com/book/show/43582376-the-body?ref=nav_sb_ss_4_8,3.0,4.32
NOMADLAND,Jessica Bruder,2017-09-19,Fall,https://www.goodreads.com/book/show/38212124-nomadland?ref=nav_sb_ss_1_9,3.0,4.03
WE DO THIS 'TIL WE FREE US,Mariame Kaba,2021-02-23,Spring,https://www.goodreads.com/book/show/56019003-we-do-this-til-we-free-us?ref=nav_sb_ss_1_26,2.0,4.66
ALL ABOUT LOVE,bell hooks,2018-01-30,Spring,https://www.goodreads.com/book/show/218042.All_About_Love,1.0,4.04
HOOD FEMINISM,Mikki Kendall,2020-02-25,Spring,https://www.goodreads.com/book/show/56621644-hood-feminism,1.0,4.37
BECOMING,Michelle Obama,2019-08-13,Summer,https://www.goodreads.com/book/show/56967240-becoming,4.0,4.45
HIDDEN VALLEY ROAD,Robert Kolker,2020-04-07,Spring,https://www.goodreads.com/book/show/50088631-hidden-valley-road?ref=nav_sb_ss_1_18,2.0,4.16
THE CHOICE,Edith Eva Eger,2017-09-05,Fall,https://www.goodreads.com/book/show/38532118-the-choice,0.0,4.58
FRONT ROW AT THE TRUMP SHOW,Jonathan Karl,2020-03-31,Spring,https://www.goodreads.com/book/show/56504893-front-row-at-the-trump-show,0.0,4.27
MINOR FEELINGS,Cathy Park Hong,2021-03-02,Spring,https://www.goodreads.com/book/show/56374648-minor-feelings,3.0,4.2
LEAVING ISN'T THE HARDEST THING,Lauren Hough,2021-04-13,Spring,,1.0,3.41
PRESS RESET,Jason Schreier,2021-05-11,Summer,https://www.goodreads.com/book/show/55277893-press-reset?ref=nav_sb_ss_1_11,0.0,4.05
COUNTDOWN 1945,Chris Wallace with Mitch Weiss,2021-05-11,Summer,https://www.goodreads.com/book/show/55711631-countdown-1945,0.0,4.26
