Title,Author,Publisher,Year on List,Rank on List,On a Celebrity Reading List,Current Context
Maid,Stephanie Land,Legacy Lit,2021,6,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,7,FALSE,Yes
Eleanor,David Michaelis,Simon & Schuster,2021,8,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,9,FALSE,No
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,10,FALSE,Yes
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,11,FALSE,No
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,12,FALSE,Yes
The Greatest Beer Run Ever,"John ""Chick"" Donohue and J.T. Molloy",Morrow,2021,13,FALSE,No
Kitchen Confidential,Anthony Bourdain,Ecco,2021,14,FALSE,No
Born A Crime,Trevor Noah,One World,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
The House of Gucci,Sara G. Forden,Custom House,2021,2,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,5,FALSE,Yes
Maid,Stephanie Land,Legacy Lit,2021,6,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,7,FALSE,Yes
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,8,FALSE,No
Eleanor,David Michaelis,Simon & Schuster,2021,9,FALSE,No
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,10,FALSE,Yes
The Greatest Beer Run Ever,"John ""Chick"" Donohue and J.T. Molloy",Morrow,2021,11,FALSE,No
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,12,FALSE,Yes
Becoming,Michelle Obama,Crown,2021,13,TRUE,No
Kitchen Confidential,Anthony Bourdain,Ecco,2021,14,FALSE,No
Entangled Life,Merlin Sheldrake,Random House,2021,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,2,FALSE,Yes
The House of Gucci,Sara G. Forden,Custom House,2021,3,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,4,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,5,FALSE,Yes
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,6,FALSE,No
Eleanor,David Michaelis,Simon & Schuster,2021,7,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,8,FALSE,Yes
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,9,FALSE,Yes
The Greatest Beer Run Ever,"John ""Chick"" Donohue and J.T. Molloy",Morrow,2021,10,FALSE,No
Entangled Life,Merlin Sheldrake,Random House,2021,11,FALSE,No
Born A Crime,Trevor Noah,One World,2021,12,FALSE,Yes
An Indigenous Peoples' History of the United States,Roxanne Dunbar-Ortiz,Beacon,2021,13,FALSE,Yes
Killers of the Flower Moon,David Grann,Vintage,2021,14,FALSE,Yes
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,2,FALSE,Yes
The House of Gucci,Sara G. Forden,Custom House,2021,3,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2021,4,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,5,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2021,6,FALSE,No
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,7,FALSE,No
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,8,FALSE,Yes
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,9,FALSE,Yes
The Greatest Beer Run Ever,"John ""Chick"" Donohue and J.T. Molloy",Morrow,2021,10,FALSE,No
Entangled Life,Merlin Sheldrake,Random House,2021,11,FALSE,No
Is This Anything?,Jerry Seinfeld,Simon & Schuster,2021,12,FALSE,Yes
Humankind,Rutger Bregman,Little Brown,2021,13,FALSE,Yes
Kitchen Confidential,Anthony Bourdain,Ecco,2021,14,FALSE,No
Killers of the Flower Moon,David Grann,Vintage,2021,15,FALSE,Yes
All About Love,bell hooks,Morrow,2022,1,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,2,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,3,FALSE,Yes
The House of Gucci,Sara G. Forden,Custom House,2022,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,7,FALSE,No
The Best of Me,David Sedaris,Back Bay/Little Brown,2022,8,FALSE,Yes
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2022,9,FALSE,No
The Greatest Beer Run Ever,"John ""Chick"" Donohue and J.T. Molloy",Morrow,2022,10,FALSE,No
The Spy and the Traitor,Ben Macintyre,Crown,2022,11,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,12,FALSE,Yes
Is This Anything?,Jerry Seinfeld,Simon & Schuster,2022,13,FALSE,Yes
Entangled Life,Merlin Sheldrake,Random House,2022,14,FALSE,No
Killers of the Flower Moon,David Grann,Vintage,2022,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
All About Love,bell hooks,Morrow,2022,2,FALSE,Yes
The House of Gucci,Sara G. Forden,Custom House,2022,3,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,7,FALSE,No
The Best of Me,David Sedaris,Back Bay/Little Brown,2022,8,FALSE,Yes
The Spy and the Traitor,Ben Macintyre,Crown,2022,9,FALSE,No
Is This Anything?,Jerry Seinfeld,Simon & Schuster,2022,10,FALSE,Yes
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2022,11,FALSE,No
The Greatest Beer Run Ever,"John ""Chick"" Donohue and J.T. Molloy",Morrow,2022,12,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,13,FALSE,Yes
Born A Crime,Trevor Noah,One World,2022,14,FALSE,Yes
Entangled Life,Merlin Sheldrake,Random House,2022,15,FALSE,No
The Year of Magical Thinking,Joan Didion,Vintage,2022,1,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,2,FALSE,Yes
All About Love,bell hooks,Morrow,2022,3,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5,FALSE,Yes
The Three Mothers,Anna Malaika Tubbs,Flatiron,2022,6,FALSE,No
The House of Gucci,Sara G. Forden,Custom House,2022,7,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8,FALSE,Yes
Blue Nights,Joan Didion,Vintage,2022,9,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,10,FALSE,No
The Devil in the White City,Erik Larson,Vintage,2022,11,FALSE,Yes
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,12,FALSE,Yes
Why We Sleep,Matthew Walker,Scribner,2022,13,FALSE,No
The Best of Me,David Sedaris,Back Bay/Little Brown,2022,14,FALSE,Yes
Kitchen Confidential,Anthony Bourdain,Ecco,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
All About Love,bell hooks,Morrow,2022,2,FALSE,Yes
The Year of Magical Thinking,Joan Didion,Vintage,2022,3,FALSE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5,FALSE,Yes
Born A Crime,Trevor Noah,One World,2022,6,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,7,FALSE,No
The House of Gucci,Sara G. Forden,Custom House,2022,8,FALSE,Yes
The Three Mothers,Anna Malaika Tubbs,Flatiron,2022,9,FALSE,No
Grit,Angela Duckworth,Scribner,2022,10,FALSE,No
The Devil in the White City,Erik Larson,Vintage,2022,11,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2022,12,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,13,FALSE,Yes
The Power of Habit,Charles Duhigg,Random House,2022,14,FALSE,Yes
Quiet,Susan Cain,Broadway,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
All About Love,bell hooks,Morrow,2022,2,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,3,FALSE,Yes
The Year of Magical Thinking,Joan Didion,Vintage,2022,4,FALSE,No
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5,FALSE,Yes
Born A Crime,Trevor Noah,One World,2022,6,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,7,FALSE,Yes
The Tender Bar,J.R. Moehringer,Hachette,2022,8,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,9,FALSE,No
The House of Gucci,Sara G. Forden,Custom House,2022,10,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2022,11,FALSE,Yes
On Tyranny,Timothy Snyder,Tim Duggan,2022,12,FALSE,Yes
Being Mortal,Atul Gawande,Picador,2022,13,FALSE,No
The Devil in the White City,Erik Larson,Vintage,2022,14,FALSE,Yes
Grit,Angela Duckworth,Scribner,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
All About Love,bell hooks,Morrow,2022,2,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,3,FALSE,Yes
The Year of Magical Thinking,Joan Didion,Vintage,2022,4,FALSE,No
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2022,7,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,8,FALSE,No
The House of Gucci,Sara G. Forden,Custom House,2022,9,FALSE,Yes
Just Mercy,Bryan Stevenson,One World,2022,10,FALSE,Yes
The Chiffon Trenches,André Leon Talley,Ballantine,2022,11,FALSE,No
Being Mortal,Atul Gawande,Metropolitan,2022,12,FALSE,No
The Three Mothers,Anna Malaika Tubbs,Flatiron,2022,13,FALSE,No
Why We Sleep,Matthew Walker,Scribner,2022,14,FALSE,No
Grit,Angela Duckworth,Scribner,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,2,FALSE,Yes
All About Love,bell hooks,Morrow,2022,3,FALSE,Yes
The Year of Magical Thinking,Joan Didion,Vintage,2022,4,FALSE,No
Born A Crime,Trevor Noah,One World,2022,5,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,6,FALSE,No
Just Mercy,Bryan Stevenson,One World,2022,7,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8,FALSE,Yes
Grit,Angela Duckworth,Scribner,2022,9,FALSE,No
The House of Gucci,Sara G. Forden,Custom House,2022,10,FALSE,Yes
The Three Mothers,Anna Malaika Tubbs,Flatiron,2022,11,FALSE,No
The Power of Habit,Charles Duhigg,Random House,2022,12,FALSE,Yes
Being Mortal,Atul Gawande,Metropolitan,2022,13,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14,FALSE,Yes
Quiet,Susan Cain,Broadway,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
All About Love,bell hooks,Morrow,2022,2,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,3,FALSE,Yes
Born A Crime,Trevor Noah,One World,2022,4,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,7,FALSE,No
Just Mercy,Bryan Stevenson,One World,2022,8,FALSE,Yes
The House of Gucci,Sara G. Forden,Custom House,2022,9,FALSE,Yes
Grit,Angela Duckworth,Scribner,2022,10,FALSE,No
The Year of Magical Thinking,Joan Didion,Vintage,2022,11,FALSE,No
All That She Carried,Tiya Miles,Random House,2022,12,FALSE,No
Why We Sleep,Matthew Walker,Scribner,2022,13,FALSE,No
Let Me Tell You What I Mean,Joan Didion,Vintage,2022,14,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
All About Love,bell hooks,Morrow,2022,2,FALSE,Yes
Educated,Tara Westover,Random House,2022,3,FALSE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,4,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,5,FALSE,Yes
Born A Crime,Trevor Noah,One World,2022,6,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,7,FALSE,No
All That She Carried,Tiya Miles,Random House,2022,8,FALSE,No
The House of Gucci,Sara G. Forden,Custom House,2022,9,FALSE,Yes
The Year of Magical Thinking,Joan Didion,Vintage,2022,10,FALSE,No
Let Me Tell You What I Mean,Joan Didion,Vintage,2022,11,FALSE,No
The Sum of Us,Heather McGhee,One World,2022,12,FALSE,No
Grit,Angela Duckworth,Scribner,2022,13,FALSE,No
Killers of the Flower Moon,David Grann,Vintage,2022,14,FALSE,Yes
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
The Splendid and the Vile,Erik Larson,Crown,2022,2,FALSE,No
Educated,Tara Westover,Random House,2022,3,FALSE,No
All About Love,bell hooks,Morrow,2022,4,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6,FALSE,Yes
Born A Crime,Trevor Noah,One World,2022,7,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,8,FALSE,No
The House of Gucci,Sara G. Forden,Custom House,2022,9,FALSE,Yes
All That She Carried,Tiya Miles,Random House,2022,10,FALSE,No
Just Mercy,Bryan Stevenson,One World,2022,11,FALSE,Yes
Grit,Angela Duckworth,Scribner,2022,12,FALSE,No
My Friend Anna,Rachel DeLoache Williams,Gallery,2022,13,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14,FALSE,Yes
Being Mortal,Atul Gawande,Metropolitan,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
The Splendid and the Vile,Erik Larson,Crown,2022,2,FALSE,No
Educated,Tara Westover,Random House,2022,3,FALSE,No
All About Love,bell hooks,Morrow,2022,4,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6,FALSE,Yes
My Friend Anna,Rachel DeLoache Williams,Gallery,2022,7,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,8,FALSE,No
The House of Gucci,Sara G. Forden,Custom House,2022,9,FALSE,Yes
All That She Carried,Tiya Miles,Random House,2022,10,FALSE,No
Just Mercy,Bryan Stevenson,One World,2022,11,FALSE,Yes
Grit,Angela Duckworth,Scribner,2022,12,FALSE,No
Why We Sleep,Matthew Walker,Scribner,2022,13,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14,FALSE,Yes
Quiet,Susan Cain,Broadway,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
The Splendid and the Vile,Erik Larson,Crown,2022,2,FALSE,No
Educated,Tara Westover,Random House,2022,3,FALSE,No
All About Love,bell hooks,Morrow,2022,4,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5,FALSE,Yes
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,6,FALSE,No
Between Two Kingdoms,Suleika Jaouad,Random House,2022,7,FALSE,No
The Gates of Europe,Serhii Plokhy,Basic,2022,8,FALSE,No
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,9,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,10,FALSE,No
Grit,Angela Duckworth,Scribner,2022,11,FALSE,No
The House of Gucci,Sara G. Forden,Custom House,2022,12,FALSE,Yes
My Friend Anna,Rachel DeLoache Williams,Gallery,2022,13,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14,FALSE,Yes
All That She Carried,Tiya Miles,Random House,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
The Splendid and the Vile,Erik Larson,Crown,2022,2,FALSE,No
Educated,Tara Westover,Random House,2022,3,FALSE,No
All About Love,bell hooks,Morrow,2022,4,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5,FALSE,Yes
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,6,FALSE,No
Endurance,Alfred Lansing,Basic,2022,7,FALSE,Yes
Between Two Kingdoms,Suleika Jaouad,Random House,2022,8,FALSE,No
The Gates of Europe,Serhii Plokhy,Basic,2022,9,FALSE,No
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,10,FALSE,Yes
Red Famine,Anne Applebaum,Anchor,2022,11,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,12,FALSE,No
The House of Gucci,Sara G. Forden,Custom House,2022,13,FALSE,Yes
Grit,Angela Duckworth,Scribner,2022,14,FALSE,No
All That She Carried,Tiya Miles,Random House,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
The Splendid and the Vile,Erik Larson,Crown,2022,2,FALSE,No
Educated,Tara Westover,Random House,2022,3,FALSE,No
All About Love,bell hooks,Morrow,2022,4,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5,FALSE,Yes
The Gates of Europe,Serhii Plokhy,Basic,2022,6,FALSE,No
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,7,FALSE,No
Endurance,Alfred Lansing,Basic,2022,8,FALSE,Yes
Between Two Kingdoms,Suleika Jaouad,Random House,2022,9,FALSE,No
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,10,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,11,FALSE,No
Born A Crime,Trevor Noah,One World,2022,12,FALSE,Yes
Red Famine,Anne Applebaum,Anchor,2022,13,FALSE,No
Grit,Angela Duckworth,Scribner,2022,14,FALSE,No
Blood and Treasure,Bob Drury and Tom Clavin,St. Martin's Griffin,2022,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
The Splendid and the Vile,Erik Larson,Crown,2022,2,FALSE,No
Educated,Tara Westover,Random House,2022,3,FALSE,No
All About Love,bell hooks,Morrow,2022,4,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5,FALSE,Yes
The Gates of Europe,Serhii Plokhy,Basic,2022,6,FALSE,No
Between Two Kingdoms,Suleika Jaouad,Random House,2022,7,FALSE,No
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,8,FALSE,No
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,9,FALSE,Yes
Endurance,Alfred Lansing,Basic,2022,10,FALSE,Yes
Blood and Treasure,Bob Drury and Tom Clavin,St. Martin's Griffin,2022,11,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,12,FALSE,No
Grit,Angela Duckworth,Scribner,2022,13,FALSE,No
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14,FALSE,Yes
The Road to Unfreedom,Timothy Snyder,Tim Duggan,2022,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
Educated,Tara Westover,Random House,2022,2,FALSE,No
The Splendid and the Vile,Erik Larson,Crown,2022,3,FALSE,No
All About Love,bell hooks,Morrow,2022,4,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5,FALSE,Yes
Pandora's Jar,Natalie Haynes,Harper Perennial,2022,6,FALSE,Yes
Between Two Kingdoms,Suleika Jaouad,Random House,2022,7,FALSE,No
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8,FALSE,Yes
Blood and Treasure,Bob Drury and Tom Clavin,St. Martin's Griffin,2022,9,FALSE,Yes
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,10,FALSE,No
The Gates of Europe,Serhii Plokhy,Basic,2022,11,FALSE,No
Endurance,Alfred Lansing,Basic,2022,12,FALSE,Yes
Born A Crime,Trevor Noah,One World,2022,13,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,14,FALSE,No
Grit,Angela Duckworth,Scribner,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
Between Two Kingdoms,Suleika Jaouad,Random House,2022,2,FALSE,No
Pandora's Jar,Natalie Haynes,Harper Perennial,2022,3,FALSE,Yes
Educated,Tara Westover,Random House,2022,4,FALSE,No
All About Love,bell hooks,Morrow,2022,5,FALSE,Yes
The Splendid and the Vile,Erik Larson,Crown,2022,6,FALSE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,7,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8,FALSE,Yes
Blood and Treasure,Bob Drury and Tom Clavin,St. Martin's Griffin,2022,9,FALSE,Yes
Quiet,Susan Cain,Broadway,2022,10,FALSE,No
Grit,Angela Duckworth,Scribner,2022,11,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,12,FALSE,No
The Premonition,Michael Lewis,Norton,2022,13,FALSE,Yes
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14,FALSE,Yes
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
Pandora's Jar,Natalie Haynes,Harper Perennial,2022,2,FALSE,Yes
Red Notice,Bill Browder,Simon & Schuster,2022,3,FALSE,Yes
All About Love,bell hooks,Morrow,2022,4,FALSE,Yes
The Splendid and the Vile,Erik Larson,Crown,2022,5,FALSE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,6,FALSE,Yes
Educated,Tara Westover,Random House,2022,7,FALSE,No
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8,FALSE,Yes
Between Two Kingdoms,Suleika Jaouad,Random House,2022,9,FALSE,No
Kitchen Confidential,Anthony Bourdain,Ecco,2022,10,FALSE,No
Women in White Coats,Olivia Campbell,Park Row,2022,11,FALSE,Yes
Blood and Treasure,Bob Drury and Tom Clavin,St. Martin's Griffin,2022,12,FALSE,Yes
Quiet,Susan Cain,Broadway,2022,13,FALSE,No
The Premonition,Michael Lewis,Norton,2022,14,FALSE,Yes
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,2,FALSE,Yes
All About Love,bell hooks,Morrow,2022,3,FALSE,Yes
Pandora's Jar,Natalie Haynes,Harper Perennial,2022,4,FALSE,Yes
The Splendid and the Vile,Erik Larson,Crown,2022,5,FALSE,No
Educated,Tara Westover,Random House,2022,6,FALSE,No
Red Notice,Bill Browder,Simon & Schuster,2022,7,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8,FALSE,Yes
The Premonition,Michael Lewis,Norton,2022,9,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2022,10,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,11,FALSE,No
Kitchen Confidential,Anthony Bourdain,Ecco,2022,12,FALSE,No
Between Two Kingdoms,Suleika Jaouad,Random House,2022,13,FALSE,No
Blood and Treasure,Bob Drury and Tom Clavin,St. Martin's Griffin,2022,14,FALSE,Yes
Women in White Coats,Olivia Campbell,Park Row,2022,15,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,2,FALSE,Yes
All About Love,bell hooks,Morrow,2022,3,FALSE,Yes
Bloodlands,Timothy Snyder,Basic,2022,4,FALSE,No
The Splendid and the Vile,Erik Larson,Crown,2022,5,FALSE,No
Under the Banner of Heaven,Jon Krakauer,Anchor,2022,6,FALSE,Yes
Pandora's Jar,Natalie Haynes,Harper Perennial,2022,7,FALSE,Yes
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8,FALSE,Yes
Educated,Tara Westover,Random House,2022,9,FALSE,No
Red Notice,Bill Browder,Simon & Schuster,2022,10,FALSE,Yes
Born A Crime,Trevor Noah,One World,2022,11,FALSE,Yes
Between Two Kingdoms,Suleika Jaouad,Random House,2022,12,FALSE,No
Women in White Coats,Olivia Campbell,Park Row,2022,13,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2022,14,FALSE,No
Grit,Angela Duckworth,Scribner,2022,15,FALSE,No
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,2,FALSE,Yes
Under the Banner of Heaven,Jon Krakauer,Anchor,2022,3,FALSE,Yes
All About Love,bell hooks,Morrow,2022,4,FALSE,Yes
Educated,Tara Westover,Random House,2022,5,FALSE,No
Born A Crime,Trevor Noah,One World,2022,6,FALSE,Yes
The Splendid and the Vile,Erik Larson,Crown,2022,7,FALSE,No
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8,FALSE,Yes
Red Notice,Bill Browder,Simon & Schuster,2022,9,FALSE,Yes
Putin's People,Catherine Belton,Picador,2022,10,FALSE,Yes
The Code Breaker,Walter Isaacson,Simon & Schuster,2022,11,FALSE,Yes
Bloodlands,Timothy Snyder,Basic,2022,12,FALSE,No
