Title,Author,Publisher,Year on List,Rank on List,On a Celebrity Reading List,Current Context
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,10,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,11,FALSE,No
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,12,FALSE,Yes
Bad Blood,John Carreyrou,Vintage,2020,13,FALSE,Yes
Grit,Angela Duckworth,Scribner,2020,14,FALSE,No
I Heard You Paint Houses,Charles Brandt,Steerforth,2020,15,FALSE,No
On Tyranny,Timothy Snyder,Tim Duggan,2020,1,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,2,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,5,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6,FALSE,Yes
To Shake the Sleeping Self,Jedidiah Jenkins,Convergent,2020,7,FALSE,No
Why We Sleep,Matthew Walker,Scribner,2020,8,FALSE,No
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,9,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,10,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,11,FALSE,No
Being Mortal,Atul Gawande,Picador,2020,12,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,13,FALSE,No
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,14,FALSE,Yes
Bad Blood,John Carreyrou,Vintage,2020,15,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,1,FALSE,Yes
Say Nothing,Patrick Radden Keefe,Anchor,2020,2,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3,FALSE,Yes
On Tyranny,Timothy Snyder,Tim Duggan,2020,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,5,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,6,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,7,FALSE,Yes
To Shake the Sleeping Self,Jedidiah Jenkins,Convergent,2020,8,FALSE,No
Why We Sleep,Matthew Walker,Scribner,2020,9,FALSE,No
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,10,FALSE,Yes
Barracoon,Zora Neale Hurston,Amistad,2020,11,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,12,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,13,FALSE,No
Winners Take All,Anand Giridharadas,Vintage,2020,14,FALSE,Yes
Grit,Angela Duckworth,Scribner,2020,15,FALSE,No
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,1,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,4,FALSE,Yes
Say Nothing,Patrick Radden Keefe,Anchor,2020,5,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6,FALSE,Yes
Women Rowing North,Mary Pipher,Bloomsbury,2020,7,FALSE,Yes
On Tyranny,Timothy Snyder,Tim Duggan,2020,8,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,9,FALSE,No
Why We Sleep,Matthew Walker,Scribner,2020,10,FALSE,No
Chesapeake Requiem,Earl Swift,Dey Street,2020,11,FALSE,Yes
"Thiking,Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,12,FALSE,Yes
Grit,Angela Duckworth,Scribner,2020,13,FALSE,No
Being Mortal,Atul Gawande,Picador,2020,14,FALSE,No
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,15,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,1,FALSE,Yes
Say Nothing,Patrick Radden Keefe,Anchor,2020,2,FALSE,Yes
