Title,Author,Publisher,Year on List,Rank on List
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,4
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,5
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,6
Sapiens,Yuval Noah Harari,Harper Perennial,2021,7
Grit,Angela Duckworth,Scribner,2021,8
The Deepest South of All,Richard Grant,Simon & Schuster,2021,9
The Only Plane in the Sky,Garrett M. Graff,Avid Reader,2021,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,11 
Just Mercy,Bryan Stevenson,One World,2021,12
Killers of the Flower Moon,David Grann,Vintage,2021,13
Agent Sonya,Ben Macintyre,Crown,2021,14
Nudge: The Final Edition,Richard H. Thaler & Cass R. Sunstein,Penguin,2021,15   
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,2
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,3
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,4
Born A Crime,Trevor Noah,One World,2021,5
Regeneration,Paul Hawken,Penguin,2021,6
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,7
Sapiens,Yuval Noah Harari,Harper Perennial,2021,8
The Deepest South of All,Richard Grant,Simon & Schuster,2021,9
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,10 
Just Mercy,Bryan Stevenson,One World,2021,11
Grit,Angela Duckworth,Scribner,2021,12
Nudge: The Final Edition,Richard H. Thaler & Cass R. Sunstein,Penguin,2021,13   
Agent Sonya,Ben Macintyre,Crown,2021,14
Killers of the Flower Moon,David Grann,Vintage,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,4
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,5
Born A Crime,Trevor Noah,One World,2021,6
Sapiens,Yuval Noah Harari,Harper Perennial,2021,7
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,8
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,9
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2021,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,11 
Grit,Angela Duckworth,Scribner,2021,12
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2021,13
The Deepest South of All,Richard Grant,Simon & Schuster,2021,14
Regeneration,Paul Hawken,Penguin,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
On Tyranny,Timothy Snyder,Tim Duggan,2021,2
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,3
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,5
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,6
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2021,7   
Maid,Stephanie Land,Legacy Lit,2021,8
Born A Crime,Trevor Noah,One World,2021,9
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,10    
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,11
Sapiens,Yuval Noah Harari,Harper Perennial,2021,12
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,13 
Just Mercy,Bryan Stevenson,One World,2021,14
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Broadway,2021,15    
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3
Maid,Stephanie Land,Legacy Lit,2021,4
On Tyranny,Timothy Snyder,Tim Duggan,2021,5
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,6
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,7
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2021,8
Sapiens,Yuval Noah Harari,Harper Perennial,2021,9
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,10
The Last Duel,Eric Jager,Crown,2021,11
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,12    
Born A Crime,Trevor Noah,One World,2021,13
Grit,Angela Duckworth,Scribner,2021,14
Just Mercy,Bryan Stevenson,One World,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
Maid,Stephanie Land,Legacy Lit,2021,2
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,4
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,5
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2021,6   
On Tyranny,Timothy Snyder,Tim Duggan,2021,7
Eleanor,David Michaelis,Simon & Schuster,2021,8
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,9
The Last Duel,Eric Jager,Crown,2021,10
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,11    
It Worked For Me,Colin Powell with Tony Koltz,Harper Perennial,2021,12
Sapiens,Yuval Noah Harari,Harper Perennial,2021,13
Born A Crime,Trevor Noah,One World,2021,14
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
Maid,Stephanie Land,Legacy Lit,2021,2
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,4
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,5
Eleanor,David Michaelis,Simon & Schuster,2021,6
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2021,7   
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,8 
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,9
The House of Gucci,Sarah G. Forden,Custom House,2021,10
On Tyranny,Timothy Snyder,Tim Duggan,2021,11
Sapiens,Yuval Noah Harari,Harper Perennial,2021,12
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,13 
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,14
The Last Duel,Eric Jager,Crown,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
Sapiens,Yuval Noah Harari,Harper Perennial,2021,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,4
The House of Gucci,Sarah G. Forden,Custom House,2021,5
Maid,Stephanie Land,Legacy Lit,2021,6
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,7
Eleanor,David Michaelis,Simon & Schuster,2021,8
21 Lessons for the 21st Century,Yuval Noah Harari,Random House,2021,9
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,10    
Homo Deus,Yuval Noah Harari,Harper Perennial,2021,11
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,12
Based on a True Story,Norm Macdonald,Random House,2021,13
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,14
The Last Duel,Eric Jager,Crown,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
The House of Gucci,Sara G. Forden,Custom House,2021,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,4
Sapiens,Yuval Noah Harari,Harper Perennial,2021,5
Maid,Stephanie Land,Legacy Lit,2021,6
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,7
Eleanor,David Michaelis,Simon & Schuster,2021,8
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,9
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,10
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,11
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2021,12  
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,13
Based on a True Story,Norm Macdonald,Random House,2021,14
The Last Duel,Eric Jager,Crown,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
The House of Gucci,Sara G. Forden,Custom House,2021,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3
Sapiens,Yuval Noah Harari,Harper Perennial,2021,4
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,5
Maid,Stephanie Land,Legacy Lit,2021,6
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,7
Eleanor,David Michaelis,Simon & Schuster,2021,8
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,9  
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,10
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,11    
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,12
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2021,13
Kitchen Confidential,Anthony Bourdain,Ecco,2021,14
Born A Crime,Trevor Noah,One World,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
The House of Gucci,Sara G. Forden,Custom House,2021,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,3
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,4
Sapiens,Yuval Noah Harari,Harper Perennial,2021,5
Maid,Stephanie Land,Legacy Lit,2021,6
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,7
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,8 
Eleanor,David Michaelis,Simon & Schuster,2021,9
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,10
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2021,11  
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,12
Becoming,Michelle Obama,Crown,2021,13
Kitchen Confidential,Anthony Bourdain,Ecco,2021,14
Entangled Life,Merlin Sheldrake,Random House,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,2
The House of Gucci,Sara G. Forden,Custom House,2021,3
Sapiens,Yuval Noah Harari,Harper Perennial,2021,4
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,5
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,6 
Eleanor,David Michaelis,Simon & Schuster,2021,7
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,8
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,9
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2021,10  
Entangled Life,Merlin Sheldrake,Random House,2021,11
Born A Crime,Trevor Noah,One World,2021,12
An Indigenous Peoples' History of the United States,Roxanne Dunbar-Ortiz,Beacon,2021,13
Killers of the Flower Moon,David Grann,Vintage,2021,14
The Sisters of Auschwitz,Roxane van Iperen,Harper,2021,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2021,1
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2021,2
The House of Gucci,Sara G. Forden,Custom House,2021,3
Sapiens,Yuval Noah Harari,Harper Perennial,2021,4
Talking to Strangers,Malcolm Gladwell,Back Bay,2021,5
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2021,6  
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2021,7 
The Best of Me,David Sedaris,Back Bay/Little Brown,2021,8
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2021,9
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2021,10  
Entangled Life,Merlin Sheldrake,Random House,2021,11
Is This Anything?,Jerry Seinfeld,Simon & Schuster,2021,12
Humankind,Rutger Bregman,"Little Brown",2021,13
Kitchen Confidential,Anthony Bourdain,Ecco,2021,14
Killers of the Flower Moon,David Grann,Vintage,2021,15
All About Love,bell hooks,Morrow,2022,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,3
The House of Gucci,Sara G. Forden,Custom House,2022,4
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,7  
The Best of Me,David Sedaris,Back Bay/Little Brown,2022,8
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2022,9 
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2022,10  
The Spy and the Traitor,Ben Macintyre,Crown,2022,11
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,12
Is This Anything?,Jerry Seinfeld,Simon & Schuster,2022,13
Entangled Life,Merlin Sheldrake,Random House,2022,14
Killers of the Flower Moon,David Grann,Vintage,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
All About Love,bell hooks,Morrow,2022,2
The House of Gucci,Sara G. Forden,Custom House,2022,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,4
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,7  
The Best of Me,David Sedaris,Back Bay/Little Brown,2022,8
The Spy and the Traitor,Ben Macintyre,Crown,2022,9
Is This Anything?,Jerry Seinfeld,Simon & Schuster,2022,10
The Last Days of John Lennon,James Patterson with Casey Sherman and Dave Wedge,Grand Central,2022,11    
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,Morrow,2022,12  
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,13
Born A Crime,Trevor Noah,One World,2022,14
Entangled Life,Merlin Sheldrake,Random House,2022,15
The Year of Magical Thinking,Joan Didion,Vintage,2022,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,2
All About Love,bell hooks,Morrow,2022,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,4    
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5
The Three Mothers,Anna Malaika Tubbs,Flatiron,2022,6
The House of Gucci,Sara G. Forden,Custom House,2022,7
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8
Blue Nights,Joan Didion,Vintage,2022,9
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,10 
The Devil in the White City,Erik Larson,Vintage,2022,11
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,12
Why We Sleep,Matthew Walker,Scribner,2022,13
The Best of Me,David Sedaris,Back Bay/Little Brown,2022,14
Kitchen Confidential,Anthony Bourdain,Ecco,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
All About Love,bell hooks,Morrow,2022,2
The Year of Magical Thinking,Joan Didion,Vintage,2022,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,4
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5
Born A Crime,Trevor Noah,One World,2022,6
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,7  
The House of Gucci,Sara G. Forden,Custom House,2022,8
The Three Mothers,Anna Malaika Tubbs,Flatiron,2022,9
Grit,Angela Duckworth,Scribner,2022,10
The Devil in the White City,Erik Larson,Vintage,2022,11
Just Mercy,Bryan Stevenson,One World,2022,12
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,13
The Power of Habit,Charles Duhigg,Random House,2022,14
Quiet,Susan Cain,Broadway,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
All About Love,bell hooks,Morrow,2022,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,3
The Year of Magical Thinking,Joan Didion,Vintage,2022,4
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5
Born A Crime,Trevor Noah,One World,2022,6
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,7
The Tender Bar,J.R. Moehringer,Hachette,2022,8
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,9  
The House of Gucci,Sara G. Forden,Custom House,2022,10
Just Mercy,Bryan Stevenson,One World,2022,11
On Tyranny,Timothy Snyder,Tim Duggan,2022,12
Being Mortal,Atul Gawande,Picador,2022,13
The Devil in the White City,Erik Larson,Vintage,2022,14
Grit,Angela Duckworth,Scribner,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
All About Love,bell hooks,Morrow,2022,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,3
The Year of Magical Thinking,Joan Didion,Vintage,2022,4
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6
Born A Crime,Trevor Noah,One World,2022,7
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,8  
The House of Gucci,Sara G. Forden,Custom House,2022,9
Just Mercy,Bryan Stevenson,One World,2022,10
The Chiffon Trenches,André Leon Talley,Ballantine,2022,11
Being Mortal,Atul Gawande,Metropolitan,2022,12
The Three Mothers,Anna Malaika Tubbs,Flatiron,2022,13
Why We Sleep,Matthew Walker,Scribner,2022,14
Grit,Angela Duckworth,Scribner,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,2
All About Love,bell hooks,Morrow,2022,3
The Year of Magical Thinking,Joan Didion,Vintage,2022,4
Born A Crime,Trevor Noah,One World,2022,5
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,6  
Just Mercy,Bryan Stevenson,One World,2022,7
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8
Grit,Angela Duckworth,Scribner,2022,9
The House of Gucci,Sara G. Forden,Custom House,2022,10
The Three Mothers,Anna Malaika Tubbs,Flatiron,2022,11
The Power of Habit,Charles Duhigg,Random House,2022,12
Being Mortal,Atul Gawande,Metropolitan,2022,13
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14
Quiet,Susan Cain,Broadway,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
All About Love,bell hooks,Morrow,2022,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,3
Born A Crime,Trevor Noah,One World,2022,4
Sapiens,Yuval Noah Harari,Harper Perennial,2022,5
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,7  
Just Mercy,Bryan Stevenson,One World,2022,8
The House of Gucci,Sara G. Forden,Custom House,2022,9
Grit,Angela Duckworth,Scribner,2022,10
The Year of Magical Thinking,Joan Didion,Vintage,2022,11
All That She Carried,Tiya Miles,Random House,2022,12
Why We Sleep,Matthew Walker,Scribner,2022,13
Let Me Tell You What I Mean,Joan Didion,Vintage,2022,14
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
All About Love,bell hooks,Morrow,2022,2
Educated,Tara Westover,Random House,2022,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,4
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,5
Born A Crime,Trevor Noah,One World,2022,6
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,7  
All That She Carried,Tiya Miles,Random House,2022,8
The House of Gucci,Sara G. Forden,Custom House,2022,9
The Year of Magical Thinking,Joan Didion,Vintage,2022,10
Let Me Tell You What I Mean,Joan Didion,Vintage,2022,11
The Sum of Us,Heather McGhee,One World,2022,12
Grit,Angela Duckworth,Scribner,2022,13
Killers of the Flower Moon,David Grann,Vintage,2022,14
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
The Splendid and the Vile,Erik Larson,Crown,2022,2
Educated,Tara Westover,Random House,2022,3
All About Love,bell hooks,Morrow,2022,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6
Born A Crime,Trevor Noah,One World,2022,7
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,8  
The House of Gucci,Sara G. Forden,Custom House,2022,9
All That She Carried,Tiya Miles,Random House,2022,10
Just Mercy,Bryan Stevenson,One World,2022,11
Grit,Angela Duckworth,Scribner,2022,12
My Friend Anna,Rachel DeLoache Williams,Gallery,2022,13
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14
Being Mortal,Atul Gawande,Metropolitan,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
The Splendid and the Vile,Erik Larson,Crown,2022,2
Educated,Tara Westover,Random House,2022,3
All About Love,bell hooks,Morrow,2022,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6
My Friend Anna,Rachel DeLoache Williams,Gallery,2022,7
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,8  
The House of Gucci,Sara G. Forden,Custom House,2022,9
All That She Carried,Tiya Miles,Random House,2022,10
Just Mercy,Bryan Stevenson,One World,2022,11
Grit,Angela Duckworth,Scribner,2022,12
Why We Sleep,Matthew Walker,Scribner,2022,13
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14
Quiet,Susan Cain,Broadway,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
The Splendid and the Vile,Erik Larson,Crown,2022,2
Educated,Tara Westover,Random House,2022,3
All About Love,bell hooks,Morrow,2022,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,6
Between Two Kingdoms,Suleika Jaouad,Random House,2022,7
The Gates of Europe,Serhii Plokhy,Basic,2022,8
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,9
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,10 
Grit,Angela Duckworth,Scribner,2022,11
The House of Gucci,Sara G. Forden,Custom House,2022,12
My Friend Anna,Rachel DeLoache Williams,Gallery,2022,13
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14
All That She Carried,Tiya Miles,Random House,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
The Splendid and the Vile,Erik Larson,Crown,2022,2
Educated,Tara Westover,Random House,2022,3
All About Love,bell hooks,Morrow,2022,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,6
Endurance,Alfred Lansing,Basic,2022,7
Between Two Kingdoms,Suleika Jaouad,Random House,2022,8
The Gates of Europe,Serhii Plokhy,Basic,2022,9
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,10
Red Famine,Anne Applebaum,Anchor,2022,11
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,12 
The House of Gucci,Sara G. Forden,Custom House,2022,13
Grit,Angela Duckworth,Scribner,2022,14
All That She Carried,Tiya Miles,Random House,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
The Splendid and the Vile,Erik Larson,Crown,2022,2
Educated,Tara Westover,Random House,2022,3
All About Love,bell hooks,Morrow,2022,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5
The Gates of Europe,Serhii Plokhy,Basic,2022,6
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,7
Endurance,Alfred Lansing,Basic,2022,8
Between Two Kingdoms,Suleika Jaouad,Random House,2022,9
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,11 
Born A Crime,Trevor Noah,One World,2022,12
Red Famine,Anne Applebaum,Anchor,2022,13
Grit,Angela Duckworth,Scribner,2022,14
Blood and Treasure,Bob Drury and Tom Clavin,St. Martin's Griffin,2022,15 
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
The Splendid and the Vile,Erik Larson,Crown,2022,2
Educated,Tara Westover,Random House,2022,3
All About Love,bell hooks,Morrow,2022,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5
The Gates of Europe,Serhii Plokhy,Basic,2022,6
Between Two Kingdoms,Suleika Jaouad,Random House,2022,7
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,8
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,9
Endurance,Alfred Lansing,Basic,2022,10
Blood and Treasure,Bob Drury and Tom Clavin,St. Martin's Griffin,2022,11    
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,12 
Grit,Angela Duckworth,Scribner,2022,13
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14
The Road to Unfreedom,Timothy Snyder,Tim Duggan,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
Educated,Tara Westover,Random House,2022,2
The Splendid and the Vile,Erik Larson,Crown,2022,3
All About Love,bell hooks,Morrow,2022,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,5
Pandora's Jar,Natalie Haynes,Harper Perennial,2022,6
Between Two Kingdoms,Suleika Jaouad,Random House,2022,7
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8
Blood and Treasure,Bob Drury and Tom Clavin,St. Martin's Griffin,2022,9 
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,10
The Gates of Europe,Serhii Plokhy,Basic,2022,11
Endurance,Alfred Lansing,Basic,2022,12
Born A Crime,Trevor Noah,One World,2022,13
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,14 
Grit,Angela Duckworth,Scribner,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
Between Two Kingdoms,Suleika Jaouad,Random House,2022,2
Pandora's Jar,Natalie Haynes,Harper Perennial,2022,3
Educated,Tara Westover,Random House,2022,4
All About Love,bell hooks,Morrow,2022,5
The Splendid and the Vile,Erik Larson,Crown,2022,6
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,7
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8
Blood and Treasure,Bob Drury and Tom Clavin,St. Martin's Griffin,2022,9 
Quiet,Susan Cain,Broadway,2022,10
Grit,Angela Duckworth,Scribner,2022,11
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,12 
The Premonition,Michael Lewis,Norton,2022,13
The Dressmakers of Auschwitz,Lucy Adlington,Harper,2022,14
Madhouse at the End of the Earth,Julian Sancton,Crown,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
Pandora's Jar,Natalie Haynes,Harper Perennial,2022,2
Red Notice,Bill Browder,Simon & Schuster,2022,3
All About Love,bell hooks,Morrow,2022,4
The Splendid and the Vile,Erik Larson,Crown,2022,5
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,6
Educated,Tara Westover,Random House,2022,7
