Title,Author,Publisher,Year on List,Rank on List
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,5
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,6
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,7
Born A Crime,Trevor Noah,Spiegel & Grau,2020,8
Raising White Kids,Jennifer Harvey,Abingdon,2020,9
White Rage,Carol Anderson,Bloomsbury,2020,10
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,11
Waking Up White,Debby Irving,Elephant Room,2020,12
Eloquent Rage,Brittney Cooper,Picador,2020,13
The Great Influenza,John M. Barry,Penguin,2020,14
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,15
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,1
White Fragility,Robin DiAngelo,Beacon,2020,2
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,3
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,4
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,5
The Color of Law,Richard Rothstein,Liveright,2020,6
The New Jim Crow,Michelle Alexander,New Press,2020,7
White Rage,Carol Anderson,Bloomsbury,2020,8
Born A Crime,Trevor Noah,Spiegel & Grau,2020,9
Raising White Kids,Jennifer Harvey,Abingdon,2020,10
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,11
Waking Up White,Debby Irving,Elephant Room,2020,12
The Color of Compromise,Jemar Tisby,Zondervan Reflective,2020,13
Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,Bloomsbury,2020,14
The Great Influenza,John M. Barry,Penguin,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,2
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,3    
The Color of Law,Richard Rothstein,Liveright,2020,4
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,5
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,6
The New Jim Crow,Michelle Alexander,New Press,2020,7
Born A Crime,Trevor Noah,Spiegel & Grau,2020,8
White Rage,Carol Anderson,Bloomsbury,2020,9
Waking Up White,Debby Irving,Elephant Room,2020,10
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,11
Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,Bloomsbury,2020,12
The Color of Compromise,Jemar Tisby,Zondervan Reflective,2020,13
"Wow,No Thank You",Samantha Irby,Vintage,2020,14
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,2
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,3
The Color of Law,Richard Rothstein,Liveright,2020,4
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,5
The New Jim Crow,Michelle Alexander,New Press,2020,6
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,7    
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,8
Born A Crime,Trevor Noah,Spiegel & Grau,2020,9
White Rage,Carol Anderson,Bloomsbury,2020,10
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,11
My Grandmother's Hands,Resmaa Menakem,Central Recovery,2020,12
The Color of Compromise,Jemar Tisby,Zondervan Reflective,2020,13
Sapiens,Yuval Noah Harari,Harper Perennial,2020,14
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,2
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,3
The Color of Law,Richard Rothstein,Liveright,2020,4
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,5
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,6    
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,7
Born A Crime,Trevor Noah,Spiegel & Grau,2020,8
The New Jim Crow,Michelle Alexander,New Press,2020,9
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,10
I'll Be Gone in the Dark,Michelle McNamara,Harper Perennial,2020,11
White Rage,Carol Anderson,Bloomsbury,2020,12
Sapiens,Yuval Noah Harari,Harper Perennial,2020,13
The Great Influenza,John M. Barry,Penguin,2020,14
The Color of Compromise,Jemar Tisby,Zondervan Reflective,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,2
The Color of Law,Richard Rothstein,Liveright,2020,3
Stamped from the Beginning,Ibram X. Kendi,Bold Type,2020,4
Alexander Hamilton,Ron Chernow,Penguin,2020,5
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,6
Why Are All the Black Kids Sitting Together in the Cafeteria?, Beverly Daniel Tatum,Basic,2020,7    
The Warmth of Other Suns,Isabel Wilkerson,Vintage,2020,8
Born A Crime,Trevor Noah,Spiegel & Grau,2020,9
The New Jim Crow,Michelle Alexander,New Press,2020,10
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,11
The Yellow House,Sarah M. Broom,Grove,2020,12
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,13
Sapiens,Yuval Noah Harari,Harper Perennial,2020,14
I'll Be Gone in the Dark,Michelle McNamara,Harper Perennial,2020,15
White Fragility,Robin DiAngelo,Beacon,2020,1
So You Want to Talk About Race,Ijeoma Oluo,Seal,2020,2
