Date,Title,Author,Rank,Publisher
2021-12-04,THE BEST OF ME,David Sedaris,9,Back Bay/Little Brown
2021-12-04,THE GREATEST BEER RUN EVER,John “Chick” Donohue and J.T. Molloy,10,Morrow
2021-12-04,ENTANGLED LIFE,Merlin Sheldrake,11,Random House
2021-12-04,BORN A CRIME,Trevor Noah,12,One World
2021-12-04,AN INDIGENOUS PEOPLES' HISTORY OF THE UNITED STATES,Roxanne Dunbar-Ortiz,13,Beacon
2021-12-04,KILLERS OF THE FLOWER MOON,David Grann,14,Vintage
2021-12-04,THE SISTERS OF AUSCHWITZ,Roxane van Iperen,15,Harper
2021-12-11,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-12-11,BRAIDING SWEETGRASS,Robin Wall Kimmerer,2,Milkweed Editions
2021-12-11,THE HOUSE OF GUCCI,Sara G. Forden,3,Custom House
2021-12-11,SAPIENS,Yuval Noah Harari,4,Harper Perennial
2021-12-11,TALKING TO STRANGERS,Malcolm Gladwell,5,Back Bay
2021-12-11,"THINKING, FAST AND SLOW",Daniel Kahneman,6,"Farrar, Straus & Giroux"
2021-12-11,THE LAST DAYS OF JOHN LENNON,James Patterson with Casey Sherman and Dave Wedge,7,Grand Central
2021-12-11,THE BEST OF ME,David Sedaris,8,Back Bay/Little Brown
2021-12-11,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,9,Harper
2021-12-11,THE GREATEST BEER RUN EVER,John “Chick” Donohue and J.T. Molloy,10,Morrow
2021-12-11,ENTANGLED LIFE,Merlin Sheldrake,11,Random House
2021-12-11,IS THIS ANYTHING?,Jerry Seinfeld,12,Simon & Schuster
2021-12-11,HUMANKIND,Rutger Bregman,13,"Little, Brown"
2021-12-11,KITCHEN CONFIDENTIAL,Anthony Bourdain,14,Ecco
2021-12-11,KILLERS OF THE FLOWER MOON,David Grann,15,Vintage
2021-12-18,ALL ABOUT LOVE,bell hooks,1,Morrow
2021-12-18,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2021-12-18,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2021-12-18,THE HOUSE OF GUCCI,Sara G. Forden,4,Custom House
2021-12-18,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2021-12-18,TALKING TO STRANGERS,Malcolm Gladwell,6,Back Bay
2021-12-18,"THINKING, FAST AND SLOW",Daniel Kahneman,7,"Farrar, Straus & Giroux"
2021-12-18,THE BEST OF ME,David Sedaris,8,Back Bay/Little Brown
2021-12-18,THE LAST DAYS OF JOHN LENNON,James Patterson with Casey Sherman and Dave Wedge,9,Grand Central
2021-12-18,THE GREATEST BEER RUN EVER,John “Chick” Donohue and J.T. Molloy,10,Morrow
2021-12-18,THE SPY AND THE TRAITOR,Ben Macintyre,11,Broadway
2021-12-18,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,12,Harper
2021-12-18,IS THIS ANYTHING?,Jerry Seinfeld,13,Simon & Schuster
2021-12-18,ENTANGLED LIFE,Merlin Sheldrake,14,Random House
2021-12-18,KILLERS OF THE FLOWER MOON,David Grann,15,Vintage
2021-12-25,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2021-12-25,ALL ABOUT LOVE,bell hooks,2,Morrow
2021-12-25,THE HOUSE OF GUCCI,Sara G. Forden,3,Custom House
2021-12-25,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions
2021-12-25,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2021-12-25,TALKING TO STRANGERS,Malcolm Gladwell,6,Back Bay
2021-12-25,"THINKING, FAST AND SLOW",Daniel Kahneman,7,"Farrar, Straus & Giroux"
2021-12-25,THE BEST OF ME,David Sedaris,8,Back Bay/Little Brown
2021-12-25,THE SPY AND THE TRAITOR,Ben Macintyre,9,Broadway
2021-12-25,IS THIS ANYTHING?,Jerry Seinfeld,10,Simon & Schuster
2021-12-25,THE LAST DAYS OF JOHN LENNON,James Patterson with Casey Sherman and Dave Wedge,11,Grand Central
2021-12-25,THE GREATEST BEER RUN EVER,John “Chick” Donohue and J.T. Molloy,12,Morrow
2021-12-25,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,13,Harper
2021-12-25,BORN A CRIME,Trevor Noah,14,One World
2021-12-25,ENTANGLED LIFE,Merlin Sheldrake,15,Random House
2022-01-01,THE YEAR OF MAGICAL THINKING,Joan Didion,1,Vintage
2022-01-01,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2,Penguin
2022-01-01,ALL ABOUT LOVE,bell hooks,3,Morrow
2022-01-01,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions
2022-01-01,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2022-01-01,THE THREE MOTHERS,Anna Malaika Tubbs,6,Flatiron
2022-01-01,THE HOUSE OF GUCCI,Sara G. Forden,7,Custom House
2022-01-01,TALKING TO STRANGERS,Malcolm Gladwell,8,Back Bay
2022-01-01,BLUE NIGHTS,Joan Didion,9,Vintage
2022-01-01,"THINKING, FAST AND SLOW",Daniel Kahneman,10,"Farrar, Straus & Giroux"
2022-01-01,THE DEVIL IN THE WHITE CITY,Erik Larson,11,Vintage
2022-01-01,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,12,Harper
2022-01-01,WHY WE SLEEP,Matthew Walker,13,Scribner
2022-01-01,THE BEST OF ME,David Sedaris,14,Back Bay/Little Brown
2022-01-01,KITCHEN CONFIDENTIAL,Anthony Bourdain,15,Ecco
2022-01-08,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-01-08,ALL ABOUT LOVE,bell hooks,2,Morrow
2022-01-08,THE YEAR OF MAGICAL THINKING,Joan Didion,3,Vintage
2022-01-08,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions
2022-01-08,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2022-01-08,BORN A CRIME,Trevor Noah,6,One World
2022-01-08,"THINKING, FAST AND SLOW",Daniel Kahneman,7,"Farrar, Straus & Giroux"
2022-01-08,THE HOUSE OF GUCCI,Sara G. Forden,8,Custom House
2022-01-08,THE THREE MOTHERS,Anna Malaika Tubbs,9,Flatiron
2022-01-08,GRIT,Angela Duckworth,10,Scribner
2022-01-08,THE DEVIL IN THE WHITE CITY,Erik Larson,11,Vintage
2022-01-08,JUST MERCY,Bryan Stevenson,12,One World
2022-01-08,TALKING TO STRANGERS,Malcolm Gladwell,13,Back Bay
2022-01-08,THE POWER OF HABIT,Charles Duhigg,14,Random House
2022-01-08,QUIET,Susan Cain,15,Broadway
2022-01-15,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-01-15,ALL ABOUT LOVE,bell hooks,2,Morrow
2022-01-15,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2022-01-15,THE YEAR OF MAGICAL THINKING,Joan Didion,4,Vintage
2022-01-15,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2022-01-15,BORN A CRIME,Trevor Noah,6,One World
2022-01-15,TALKING TO STRANGERS,Malcolm Gladwell,7,Back Bay
2022-01-15,THE TENDER BAR,J.R. Moehringer,8,Hachette
2022-01-15,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux"
2022-01-15,THE HOUSE OF GUCCI,Sara G. Forden,10,Custom House
2022-01-15,JUST MERCY,Bryan Stevenson,11,One World
2022-01-15,ON TYRANNY,Timothy Snyder,12,Tim Duggan
2022-01-15,BEING MORTAL,Atul Gawande,13,Picador
2022-01-15,THE DEVIL IN THE WHITE CITY,Erik Larson,14,Vintage
2022-01-15,GRIT,Angela Duckworth,15,Scribner
2022-01-22,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-01-22,ALL ABOUT LOVE,bell hooks,2,Morrow
2022-01-22,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2022-01-22,THE YEAR OF MAGICAL THINKING,Joan Didion,4,Vintage
2022-01-22,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2022-01-22,TALKING TO STRANGERS,Malcolm Gladwell,6,Back Bay
2022-01-22,BORN A CRIME,Trevor Noah,7,One World
2022-01-22,"THINKING, FAST AND SLOW",Daniel Kahneman,8,"Farrar, Straus & Giroux"
2022-01-22,THE HOUSE OF GUCCI,Sara G. Forden,9,Custom House
2022-01-22,JUST MERCY,Bryan Stevenson,10,One World
2022-01-22,THE CHIFFON TRENCHES,André Leon Talley,11,Ballantine
2022-01-22,BEING MORTAL,Atul Gawande,12,Metropolitan
2022-01-22,THE THREE MOTHERS,Anna Malaika Tubbs,13,Flatiron
2022-01-22,WHY WE SLEEP,Matthew Walker,14,Scribner
2022-01-22,GRIT,Angela Duckworth,15,Scribner
2022-01-29,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-01-29,BRAIDING SWEETGRASS,Robin Wall Kimmerer,2,Milkweed Editions
2022-01-29,ALL ABOUT LOVE,bell hooks,3,Morrow
2022-01-29,THE YEAR OF MAGICAL THINKING,Joan Didion,4,Vintage
2022-01-29,BORN A CRIME,Trevor Noah,5,One World
2022-01-29,"THINKING, FAST AND SLOW",Daniel Kahneman,6,"Farrar, Straus & Giroux"
2022-01-29,JUST MERCY,Bryan Stevenson,7,One World
2022-01-29,TALKING TO STRANGERS,Malcolm Gladwell,8,Back Bay
2022-01-29,GRIT,Angela Duckworth,9,Scribner
2022-01-29,THE HOUSE OF GUCCI,Sara G. Forden,10,Custom House
2022-01-29,THE THREE MOTHERS,Anna Malaika Tubbs,11,Flatiron
2022-01-29,THE POWER OF HABIT,Charles Duhigg,12,Random House
2022-01-29,BEING MORTAL,Atul Gawande,13,Metropolitan
2022-01-29,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,14,Harper
2022-01-29,QUIET,Susan Cain,15,Broadway
2022-02-05,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-02-05,ALL ABOUT LOVE,bell hooks,2,Morrow
2022-02-05,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2022-02-05,BORN A CRIME,Trevor Noah,4,One World
2022-02-05,SAPIENS,Yuval Noah Harari,5,Harper Perennial
2022-02-05,TALKING TO STRANGERS,Malcolm Gladwell,6,Back Bay
2022-02-05,"THINKING, FAST AND SLOW",Daniel Kahneman,7,"Farrar, Straus & Giroux"
2022-02-05,JUST MERCY,Bryan Stevenson,8,One World
2022-02-05,THE HOUSE OF GUCCI,Sara G. Forden,9,Custom House
2022-02-05,GRIT,Angela Duckworth,10,Scribner
2022-02-05,THE YEAR OF MAGICAL THINKING,Joan Didion,11,Vintage
2022-02-05,ALL THAT SHE CARRIED,Tiya Miles,12,Random House
2022-02-05,WHY WE SLEEP,Matthew Walker,13,Scribner
2022-02-05,LET ME TELL YOU WHAT I MEAN,Joan Didion,14,Vintage
2022-02-05,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,15,Harper
2022-02-12,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-02-12,ALL ABOUT LOVE,bell hooks,2,Morrow
2022-02-12,EDUCATED,Tara Westover,3,Random House
2022-02-12,BRAIDING SWEETGRASS,Robin Wall Kimmerer,4,Milkweed Editions
2022-02-12,TALKING TO STRANGERS,Malcolm Gladwell,5,Back Bay
2022-02-12,BORN A CRIME,Trevor Noah,6,One World
2022-02-12,"THINKING, FAST AND SLOW",Daniel Kahneman,7,"Farrar, Straus & Giroux"
2022-02-12,ALL THAT SHE CARRIED,Tiya Miles,8,Random House
2022-02-12,THE HOUSE OF GUCCI,Sara G. Forden,9,Custom House
2022-02-12,THE YEAR OF MAGICAL THINKING,Joan Didion,10,Vintage
2022-02-12,LET ME TELL YOU WHAT I MEAN,Joan Didion,11,Vintage
2022-02-12,THE SUM OF US,Heather McGhee,12,One World
2022-02-12,GRIT,Angela Duckworth,13,Scribner
2022-02-12,KILLERS OF THE FLOWER MOON,David Grann,14,Vintage
2022-02-12,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,15,Harper
2022-02-19,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-02-19,THE SPLENDID AND THE VILE,Erik Larson,2,Crown
2022-02-19,EDUCATED,Tara Westover,3,Random House
2022-02-19,ALL ABOUT LOVE,bell hooks,4,Morrow
2022-02-19,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions
2022-02-19,TALKING TO STRANGERS,Malcolm Gladwell,6,Back Bay
2022-02-19,BORN A CRIME,Trevor Noah,7,One World
2022-02-19,"THINKING, FAST AND SLOW",Daniel Kahneman,8,"Farrar, Straus & Giroux"
2022-02-19,THE HOUSE OF GUCCI,Sara G. Forden,9,Custom House
2022-02-19,ALL THAT SHE CARRIED,Tiya Miles,10,Random House
2022-02-19,JUST MERCY,Bryan Stevenson,11,One World
2022-02-19,GRIT,Angela Duckworth,12,Scribner
2022-02-19,MY FRIEND ANNA,Rachel DeLoache Williams,13,Gallery
2022-02-19,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,14,Harper
2022-02-19,BEING MORTAL,Atul Gawande,15,Metropolitan
2022-02-26,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-02-26,THE SPLENDID AND THE VILE,Erik Larson,2,Crown
2022-02-26,EDUCATED,Tara Westover,3,Random House
2022-02-26,ALL ABOUT LOVE,bell hooks,4,Morrow
2022-02-26,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions
2022-02-26,TALKING TO STRANGERS,Malcolm Gladwell,6,Back Bay
2022-02-26,MY FRIEND ANNA,Rachel DeLoache Williams,7,Gallery
2022-02-26,"THINKING, FAST AND SLOW",Daniel Kahneman,8,"Farrar, Straus & Giroux"
2022-02-26,THE HOUSE OF GUCCI,Sara G. Forden,9,Custom House
2022-02-26,ALL THAT SHE CARRIED,Tiya Miles,10,Random House
2022-02-26,JUST MERCY,Bryan Stevenson,11,One World
2022-02-26,GRIT,Angela Duckworth,12,Scribner
2022-02-26,WHY WE SLEEP,Matthew Walker,13,Scribner
2022-02-26,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,14,Harper
2022-02-26,QUIET,Susan Cain,15,Broadway
2022-03-05,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-03-05,THE SPLENDID AND THE VILE,Erik Larson,2,Crown
2022-03-05,EDUCATED,Tara Westover,3,Random House
2022-03-05,ALL ABOUT LOVE,bell hooks,4,Morrow
2022-03-05,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions
2022-03-05,MADHOUSE AT THE END OF THE EARTH,Julian Sancton,6,Crown
2022-03-05,BETWEEN TWO KINGDOMS,Suleika Jaouad,7,Random House
2022-03-05,THE GATES OF EUROPE,Serhii Plokhy,8,Basic
2022-03-05,TALKING TO STRANGERS,Malcolm Gladwell,9,Back Bay
2022-03-05,"THINKING, FAST AND SLOW",Daniel Kahneman,10,"Farrar, Straus & Giroux"
2022-03-05,GRIT,Angela Duckworth,11,Scribner
2022-03-05,THE HOUSE OF GUCCI,Sara G. Forden,12,Custom House
2022-03-05,MY FRIEND ANNA,Rachel DeLoache Williams,13,Gallery
2022-03-05,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,14,Harper
2022-03-05,ALL THAT SHE CARRIED,Tiya Miles,15,Random House
2022-03-12,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-03-12,THE SPLENDID AND THE VILE,Erik Larson,2,Crown
2022-03-12,EDUCATED,Tara Westover,3,Random House
2022-03-12,ALL ABOUT LOVE,bell hooks,4,Morrow
2022-03-12,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions
2022-03-12,MADHOUSE AT THE END OF THE EARTH,Julian Sancton,6,Crown
2022-03-12,ENDURANCE,Alfred Lansing,7,Basic
2022-03-12,BETWEEN TWO KINGDOMS,Suleika Jaouad,8,Random House
2022-03-12,THE GATES OF EUROPE,Serhii Plokhy,9,Basic
2022-03-12,TALKING TO STRANGERS,Malcolm Gladwell,10,Back Bay
2022-03-12,RED FAMINE,Anne Applebaum,11,Anchor
2022-03-12,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2022-03-12,THE HOUSE OF GUCCI,Sara G. Forden,13,Custom House
2022-03-12,GRIT,Angela Duckworth,14,Scribner
2022-03-12,ALL THAT SHE CARRIED,Tiya Miles,15,Random House
2022-03-19,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-03-19,THE SPLENDID AND THE VILE,Erik Larson,2,Crown
2022-03-19,EDUCATED,Tara Westover,3,Random House
2022-03-19,ALL ABOUT LOVE,bell hooks,4,Morrow
2022-03-19,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions
2022-03-19,THE GATES OF EUROPE,Serhii Plokhy,6,Basic
2022-03-19,MADHOUSE AT THE END OF THE EARTH,Julian Sancton,7,Crown
2022-03-19,ENDURANCE,Alfred Lansing,8,Basic
2022-03-19,BETWEEN TWO KINGDOMS,Suleika Jaouad,9,Random House
2022-03-19,TALKING TO STRANGERS,Malcolm Gladwell,10,Back Bay
2022-03-19,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2022-03-19,BORN A CRIME,Trevor Noah,12,One World
2022-03-19,RED FAMINE,Anne Applebaum,13,Anchor
2022-03-19,GRIT,Angela Duckworth,14,Scribner
2022-03-19,BLOOD AND TREASURE,Bob Drury and Tom Clavin,15,St. Martin's Griffin
2022-03-26,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-03-26,THE SPLENDID AND THE VILE,Erik Larson,2,Crown
2022-03-26,EDUCATED,Tara Westover,3,Random House
2022-03-26,ALL ABOUT LOVE,bell hooks,4,Morrow
2022-03-26,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions
2022-03-26,THE GATES OF EUROPE,Serhii Plokhy,6,Basic
2022-03-26,BETWEEN TWO KINGDOMS,Suleika Jaouad,7,Random House
2022-03-26,MADHOUSE AT THE END OF THE EARTH,Julian Sancton,8,Crown
2022-03-26,TALKING TO STRANGERS,Malcolm Gladwell,9,Back Bay
2022-03-26,ENDURANCE,Alfred Lansing,10,Basic
2022-03-26,BLOOD AND TREASURE,Bob Drury and Tom Clavin,11,St. Martin's Griffin
2022-03-26,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2022-03-26,GRIT,Angela Duckworth,13,Scribner
2022-03-26,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,14,Harper
2022-03-26,THE ROAD TO UNFREEDOM,Timothy Snyder,15,Tim Duggan
2022-04-02,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-04-02,EDUCATED,Tara Westover,2,Random House
2022-04-02,THE SPLENDID AND THE VILE,Erik Larson,3,Crown
2022-04-02,ALL ABOUT LOVE,bell hooks,4,Morrow
2022-04-02,BRAIDING SWEETGRASS,Robin Wall Kimmerer,5,Milkweed Editions
2022-04-02,PANDORA'S JAR,Natalie Haynes,6,Harper Perennial
2022-04-02,BETWEEN TWO KINGDOMS,Suleika Jaouad,7,Random House
2022-04-02,TALKING TO STRANGERS,Malcolm Gladwell,8,Back Bay
2022-04-02,BLOOD AND TREASURE,Bob Drury and Tom Clavin,9,St. Martin's Griffin
2022-04-02,MADHOUSE AT THE END OF THE EARTH,Julian Sancton,10,Crown
2022-04-02,THE GATES OF EUROPE,Serhii Plokhy,11,Basic
2022-04-02,ENDURANCE,Alfred Lansing,12,Basic
2022-04-02,BORN A CRIME,Trevor Noah,13,One World
2022-04-02,"THINKING, FAST AND SLOW",Daniel Kahneman,14,"Farrar, Straus & Giroux"
2022-04-02,GRIT,Angela Duckworth,15,Scribner
2022-04-09,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-04-09,BETWEEN TWO KINGDOMS,Suleika Jaouad,2,Random House
2022-04-09,PANDORA'S JAR,Natalie Haynes,3,Harper Perennial
2022-04-09,EDUCATED,Tara Westover,4,Random House
2022-04-09,ALL ABOUT LOVE,bell hooks,5,Morrow
2022-04-09,THE SPLENDID AND THE VILE,Erik Larson,6,Crown
2022-04-09,BRAIDING SWEETGRASS,Robin Wall Kimmerer,7,Milkweed Editions
2022-04-09,TALKING TO STRANGERS,Malcolm Gladwell,8,Back Bay
2022-04-09,BLOOD AND TREASURE,Bob Drury and Tom Clavin,9,St. Martin's Griffin
2022-04-09,QUIET,Susan Cain,10,Broadway
2022-04-09,GRIT,Angela Duckworth,11,Scribner
2022-04-09,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2022-04-09,THE PREMONITION,Michael Lewis,13,Norton
2022-04-09,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,14,Harper
2022-04-09,MADHOUSE AT THE END OF THE EARTH,Julian Sancton,15,Crown
2022-04-16,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-04-16,PANDORA'S JAR,Natalie Haynes,2,Harper Perennial
2022-04-16,RED NOTICE,Bill Browder,3,Simon & Schuster
2022-04-16,ALL ABOUT LOVE,bell hooks,4,Morrow
2022-04-16,THE SPLENDID AND THE VILE,Erik Larson,5,Crown
2022-04-16,BRAIDING SWEETGRASS,Robin Wall Kimmerer,6,Milkweed Editions
2022-04-16,EDUCATED,Tara Westover,7,Random House
2022-04-16,TALKING TO STRANGERS,Malcolm Gladwell,8,Back Bay
2022-04-16,BETWEEN TWO KINGDOMS,Suleika Jaouad,9,Random House
2022-04-16,KITCHEN CONFIDENTIAL,Anthony Bourdain,10,Ecco
2022-04-16,WOMEN IN WHITE COATS,Olivia Campbell,11,Park Row
2022-04-16,BLOOD AND TREASURE,Bob Drury and Tom Clavin,12,St. Martin's Griffin
2022-04-16,QUIET,Susan Cain,13,Broadway
2022-04-16,THE PREMONITION,Michael Lewis,14,Norton
2022-04-16,THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,15,Harper
2022-04-23,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-04-23,BRAIDING SWEETGRASS,Robin Wall Kimmerer,2,Milkweed Editions
2022-04-23,ALL ABOUT LOVE,bell hooks,3,Morrow
2022-04-23,PANDORA'S JAR,Natalie Haynes,4,Harper Perennial
2022-04-23,THE SPLENDID AND THE VILE,Erik Larson,5,Crown
2022-04-23,EDUCATED,Tara Westover,6,Random House
2022-04-23,RED NOTICE,Bill Browder,7,Simon & Schuster
2022-04-23,TALKING TO STRANGERS,Malcolm Gladwell,8,Back Bay
2022-04-23,THE PREMONITION,Michael Lewis,9,Norton
2022-04-23,SAPIENS,Yuval Noah Harari,10,Harper Perennial
2022-04-23,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2022-04-23,KITCHEN CONFIDENTIAL,Anthony Bourdain,12,Ecco
2022-04-23,BETWEEN TWO KINGDOMS,Suleika Jaouad,13,Random House
2022-04-23,BLOOD AND TREASURE,Bob Drury and Tom Clavin,14,St. Martin's Griffin
2022-04-23,WOMEN IN WHITE COATS,Olivia Campbell,15,Park Row
2022-04-30,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-04-30,BRAIDING SWEETGRASS,Robin Wall Kimmerer,2,Milkweed Editions
2022-04-30,ALL ABOUT LOVE,bell hooks,3,Morrow
2022-04-30,BLOODLANDS,Timothy Snyder,4,Basic
2022-04-30,THE SPLENDID AND THE VILE,Erik Larson,5,Crown
2022-04-30,UNDER THE BANNER OF HEAVEN,Jon Krakauer,6,Anchor
2022-04-30,PANDORA'S JAR,Natalie Haynes,7,Harper Perennial
2022-04-30,TALKING TO STRANGERS,Malcolm Gladwell,8,Back Bay
2022-04-30,EDUCATED,Tara Westover,9,Random House
2022-04-30,RED NOTICE,Bill Browder,10,Simon & Schuster
2022-04-30,BORN A CRIME,Trevor Noah,11,One World
2022-04-30,BETWEEN TWO KINGDOMS,Suleika Jaouad,12,Random House
2022-04-30,WOMEN IN WHITE COATS,Olivia Campbell,13,Park Row
2022-04-30,"THINKING, FAST AND SLOW",Daniel Kahneman,14,"Farrar, Straus & Giroux"
2022-04-30,GRIT,Angela Duckworth,15,Scribner
2022-05-07,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-05-07,BRAIDING SWEETGRASS,Robin Wall Kimmerer,2,Milkweed Editions
2022-05-07,UNDER THE BANNER OF HEAVEN,Jon Krakauer,3,Anchor
2022-05-07,ALL ABOUT LOVE,bell hooks,4,Morrow
2022-05-07,EDUCATED,Tara Westover,5,Random House
2022-05-07,BORN A CRIME,Trevor Noah,6,One World
2022-05-07,THE SPLENDID AND THE VILE,Erik Larson,7,Crown
2022-05-07,TALKING TO STRANGERS,Malcolm Gladwell,8,Back Bay
2022-05-07,RED NOTICE,Bill Browder,9,Simon & Schuster
2022-05-07,PUTIN'S PEOPLE,Catherine Belton,10,Picador
2022-05-07,THE CODE BREAKER,Walter Isaacson,11,Simon & Schuster
2022-05-07,BLOODLANDS,Timothy Snyder,12,Basic
2022-05-07,GRIT,Angela Duckworth,13,Scribner
2022-05-07,HILLBILLY ELEGY,JD Vance,14,Harper
2022-05-07,BETWEEN TWO KINGDOMS,Suleika Jaouad,15,Random House
2022-05-14,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-05-14,LILY'S PROMISE,Lily Ebert and Dov Forman,2,HarperOne
2022-05-14,BRAIDING SWEETGRASS,Robin Wall Kimmerer,3,Milkweed Editions
2022-05-14,ALL ABOUT LOVE,bell hooks,4,Morrow
2022-05-14,UNDER THE BANNER OF HEAVEN,Jon Krakauer,5,Anchor
2022-05-14,THE CODE BREAKER,Walter Isaacson,6,Simon & Schuster
2022-05-14,BORN A CRIME,Trevor Noah,7,One World
2022-05-14,TALKING TO STRANGERS,Malcolm Gladwell,8,Back Bay
2022-05-14,EDUCATED,Tara Westover,9,Random House
2022-05-14,SAPIENS,Yuval Noah Harari,10,Harper Perennial
2022-05-14,THE SPLENDID AND THE VILE,Erik Larson,11,Crown
2022-05-14,GRIT,Angela Duckworth,12,Scribner
2022-05-14,"THINKING, FAST AND SLOW",Daniel Kahneman,13,"Farrar, Straus & Giroux"
2022-05-14,WHITE FRAGILITY,Robin DiAngelo,14,Beacon
2022-05-14,WALK IN MY COMBAT BOOTS,James Patterson and Matt Eversmann with Chris Mooney,15,Grand Central
2022-05-21,THE BODY KEEPS THE SCORE,Bessel van der Kolk,1,Penguin
2022-05-21,BRAIDING SWEETGRASS,Robin Wall Kimmerer,2,Milkweed Editions
2022-05-21,ALL ABOUT LOVE,bell hooks,3,Morrow
2022-05-21,UNDER THE BANNER OF HEAVEN,Jon Krakauer,4,Anchor
2022-05-21,THE CODE BREAKER,Walter Isaacson,5,Simon & Schuster
2022-05-21,BORN A CRIME,Trevor Noah,6,One World
2022-05-21,TALKING TO STRANGERS,Malcolm Gladwell,7,Back Bay
2022-05-21,SAPIENS,Yuval Noah Harari,8,Harper Perennial
2022-05-21,EDUCATED,Tara Westover,9,Random House
2022-05-21,JUST MERCY,Bryan Stevenson,10,One World
2022-05-21,PATRIARCHY BLUES,Frederick Joseph,11,Harper Perennial
2022-05-21,WALK IN MY COMBAT BOOTS,James Patterson and Matt Eversmann with Chris Mooney,12,Grand Central
2022-05-21,"THINKING, FAST AND SLOW",Daniel Kahneman,13,"Farrar, Straus & Giroux"
2022-05-21,LILY'S PROMISE,Lily Ebert and Dov Forman,14,HarperOne
