Date,Title,Author,Rank,Publisher
2020-02-15,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,6,Convergent
2020-02-15,BORN A CRIME,Trevor Noah,7,Spiegel & Grau
2020-02-15,WHY WE SLEEP,Matthew Walker,8,Scribner
2020-02-15,BRAIDING SWEETGRASS,Robin Wall Kimmerer,9,Milkweed Editions
2020-02-15,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown"
2020-02-15,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux"
2020-02-15,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,12,Penguin
2020-02-15,BAD BLOOD,John Carreyrou,13,Vintage
2020-02-15,GRIT,Angela Duckworth,14,Scribner
2020-02-15,I HEARD YOU PAINT HOUSES,Charles Brandt,15,Steerforth
2020-02-22,ON TYRANNY,Timothy Snyder,1,Tim Duggan
2020-02-22,JUST MERCY,Bryan Stevenson,2,Spiegel & Grau
2020-02-22,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin
2020-02-22,SAPIENS,Yuval Noah Harari,4,Harper Perennial
2020-02-22,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2020-02-22,BORN A CRIME,Trevor Noah,6,Spiegel & Grau
2020-02-22,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,7,Convergent
2020-02-22,WHY WE SLEEP,Matthew Walker,8,Scribner
2020-02-22,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,9,Penguin
2020-02-22,BRAIDING SWEETGRASS,Robin Wall Kimmerer,10,Milkweed Editions
2020-02-22,OUTLIERS,Malcolm Gladwell,11,"Back Bay/Little, Brown"
2020-02-22,BEING MORTAL,Atul Gawande,12,Picador
2020-02-22,"THINKING, FAST AND SLOW",Daniel Kahneman,13,"Farrar, Straus & Giroux"
2020-02-22,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,14,Simon & Schuster
2020-02-22,BAD BLOOD,John Carreyrou,15,Vintage
2020-02-29,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau
2020-02-29,SAY NOTHING,Patrick Radden Keefe,2,Anchor
2020-02-29,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin
2020-02-29,ON TYRANNY,Timothy Snyder,4,Tim Duggan
2020-02-29,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2020-02-29,SAPIENS,Yuval Noah Harari,6,Harper Perennial
2020-02-29,BORN A CRIME,Trevor Noah,7,Spiegel & Grau
2020-02-29,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,8,Convergent
2020-02-29,WHY WE SLEEP,Matthew Walker,9,Scribner
2020-02-29,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,10,Penguin
2020-02-29,BARRACOON,Zora Neale Hurston,11,Amistad
2020-02-29,OUTLIERS,Malcolm Gladwell,12,"Back Bay/Little, Brown"
2020-02-29,"THINKING, FAST AND SLOW",Daniel Kahneman,13,"Farrar, Straus & Giroux"
2020-02-29,WINNERS TAKE ALL,Anand Giridharadas,14,Vintage
2020-02-29,GRIT,Angela Duckworth,15,Scribner
2020-03-07,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau
2020-03-07,SAPIENS,Yuval Noah Harari,2,Harper Perennial
2020-03-07,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin
2020-03-07,WHITE FRAGILITY,Robin DiAngelo,4,Beacon
2020-03-07,SAY NOTHING,Patrick Radden Keefe,5,Anchor
2020-03-07,BORN A CRIME,Trevor Noah,6,Spiegel & Grau
2020-03-07,WOMEN ROWING NORTH,Mary Pipher,7,Bloomsbury
2020-03-07,ON TYRANNY,Timothy Snyder,8,Tim Duggan
2020-03-07,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown"
2020-03-07,WHY WE SLEEP,Matthew Walker,10,Scribner
2020-03-07,CHESAPEAKE REQUIEM,Earl Swift,11,Dey St.
2020-03-07,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2020-03-07,GRIT,Angela Duckworth,13,Scribner
2020-03-07,BEING MORTAL,Atul Gawande,14,Picador
2020-03-07,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,15,Penguin
2020-03-14,SAPIENS,Yuval Noah Harari,1,Harper Perennial
2020-03-14,SAY NOTHING,Patrick Radden Keefe,2,Anchor
2020-03-14,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin
2020-03-14,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau
2020-03-14,WHITE FRAGILITY,Robin DiAngelo,5,Beacon
2020-03-14,BORN A CRIME,Trevor Noah,6,Spiegel & Grau
2020-03-14,THE GREAT INFLUENZA,John M. Barry,7,Penguin
