,Date,Title,Author,Rank,Publisher,Weeks on List,On a Celebrity Reading List,Rating,Awards Count,Publication Season
118,2020-02-08,BAD BLOOD,John Carreyrou,14,Vintage,2,False,4.41,3.0,Spring
119,2020-02-08,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,15,Penguin,13,False,3.86,1.0,Fall
120,2020-02-15,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,192,False,4.63,8.0,Summer
121,2020-02-15,ON TYRANNY,Timothy Snyder,2,Tim Duggan,62,False,4.2,1.0,Spring
122,2020-02-15,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,69,False,4.38,0.0,Fall
123,2020-02-15,SAPIENS,Yuval Noah Harari,4,Harper Perennial,92,False,4.35,2.0,Spring
124,2020-02-15,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,80,False,4.17,0.0,Summer
125,2020-02-15,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,6,Convergent,5,False,3.94,0.0,Fall
126,2020-02-15,BORN A CRIME,Trevor Noah,7,Spiegel & Grau,53,False,4.49,6.0,Fall
127,2020-02-15,WHY WE SLEEP,Matthew Walker,8,Scribner,43,False,4.38,1.0,Fall
128,2020-02-15,BRAIDING SWEETGRASS,Robin Wall Kimmerer,9,Milkweed Editions,2,False,4.53,2.0,Fall
129,2020-02-15,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown",313,False,4.19,0.0,Fall
130,2020-02-15,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",237,False,4.18,4.0,Fall
131,2020-02-15,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,12,Penguin,14,False,3.86,1.0,Fall
132,2020-02-15,BAD BLOOD,John Carreyrou,13,Vintage,3,False,4.41,3.0,Spring
133,2020-02-15,GRIT,Angela Duckworth,14,Scribner,67,False,4.08,1.0,Fall
134,2020-02-15,I HEARD YOU PAINT HOUSES,Charles Brandt,15,Steerforth,11,False,4.12,0.0,Summer
135,2020-02-22,ON TYRANNY,Timothy Snyder,1,Tim Duggan,63,False,4.2,1.0,Spring
136,2020-02-22,JUST MERCY,Bryan Stevenson,2,Spiegel & Grau,193,False,4.63,8.0,Summer
137,2020-02-22,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,70,False,4.38,0.0,Fall
138,2020-02-22,SAPIENS,Yuval Noah Harari,4,Harper Perennial,93,False,4.35,2.0,Spring
139,2020-02-22,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,81,False,4.17,0.0,Summer
140,2020-02-22,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,54,False,4.49,6.0,Fall
141,2020-02-22,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,7,Convergent,6,False,3.94,0.0,Fall
142,2020-02-22,WHY WE SLEEP,Matthew Walker,8,Scribner,44,False,4.38,1.0,Fall
143,2020-02-22,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,9,Penguin,15,False,3.86,1.0,Fall
144,2020-02-22,BRAIDING SWEETGRASS,Robin Wall Kimmerer,10,Milkweed Editions,3,False,4.53,2.0,Fall
145,2020-02-22,OUTLIERS,Malcolm Gladwell,11,"Back Bay/Little, Brown",314,False,4.19,0.0,Fall
146,2020-02-22,BEING MORTAL,Atul Gawande,12,Picador,116,False,4.49,3.0,Fall
147,2020-02-22,"THINKING, FAST AND SLOW",Daniel Kahneman,13,"Farrar, Straus & Giroux",238,False,4.18,4.0,Fall
148,2020-02-22,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,14,Simon & Schuster,2,False,4.37,5.0,Spring
149,2020-02-22,BAD BLOOD,John Carreyrou,15,Vintage,4,False,4.41,3.0,Spring
150,2020-02-29,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,194,False,4.63,8.0,Summer
151,2020-02-29,SAY NOTHING,Patrick Radden Keefe,2,Anchor,1,False,4.47,7.0,Spring
152,2020-02-29,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,71,False,4.38,0.0,Fall
153,2020-02-29,ON TYRANNY,Timothy Snyder,4,Tim Duggan,64,False,4.2,1.0,Spring
154,2020-02-29,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,82,False,4.17,0.0,Summer
155,2020-02-29,SAPIENS,Yuval Noah Harari,6,Harper Perennial,94,False,4.35,2.0,Spring
156,2020-02-29,BORN A CRIME,Trevor Noah,7,Spiegel & Grau,55,False,4.49,6.0,Fall
157,2020-02-29,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,8,Convergent,7,False,3.94,0.0,Fall
158,2020-02-29,WHY WE SLEEP,Matthew Walker,9,Scribner,45,False,4.38,1.0,Fall
159,2020-02-29,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,10,Penguin,16,False,3.86,1.0,Fall
160,2020-02-29,BARRACOON,Zora Neale Hurston,11,Amistad,1,False,4.04,3.0,Spring
161,2020-02-29,OUTLIERS,Malcolm Gladwell,12,"Back Bay/Little, Brown",315,False,4.19,0.0,Fall
162,2020-02-29,"THINKING, FAST AND SLOW",Daniel Kahneman,13,"Farrar, Straus & Giroux",239,False,4.18,4.0,Fall
163,2020-02-29,WINNERS TAKE ALL,Anand Giridharadas,14,Vintage,2,False,4.13,0.0,Fall
